,time_x,address,totalBikeStands,availableBikeStands,availableBikes,status,datetime_x,date,day,hour,time_y,mainDescription,detailedDescription,icon,currentTemp,maxTemp,minTemp,pressure,humidity,windSpeed,windAngle,cloudDensity,visibility,datetime_y
87,1521226461000,Blessington Street,20,14,6,OPEN,2018-03-16 18:54:21,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
88,1521226465000,Fownes Street Upper,30,1,29,OPEN,2018-03-16 18:54:25,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
89,1521226465000,Molesworth Street,20,12,8,OPEN,2018-03-16 18:54:25,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
90,1521226467000,Kevin Street,40,17,23,CLOSED,2018-03-16 18:54:27,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
91,1521226467000,Portobello Harbour,30,3,27,OPEN,2018-03-16 18:54:27,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
92,1521226467000,The Point,40,12,28,OPEN,2018-03-16 18:54:27,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
93,1521226470000,Golden Lane,20,12,8,OPEN,2018-03-16 18:54:30,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
94,1521226471000,City Quay,30,5,25,OPEN,2018-03-16 18:54:31,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
95,1521226472000,Pearse Street,30,15,15,OPEN,2018-03-16 18:54:32,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
96,1521226472000,St James Hospital (Luas),40,17,23,OPEN,2018-03-16 18:54:32,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
97,1521226473000,Talbot Street,40,8,32,OPEN,2018-03-16 18:54:33,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
98,1521226475000,Townsend Street,20,3,17,OPEN,2018-03-16 18:54:35,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
99,1521226476000,Fenian Street,35,28,7,OPEN,2018-03-16 18:54:36,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
100,1521226482000,Molesworth Street,20,13,7,OPEN,2018-03-16 18:54:42,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
101,1521226498000,Heuston Bridge (North),40,7,33,OPEN,2018-03-16 18:54:58,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
102,1521226500000,Newman House,40,37,3,OPEN,2018-03-16 18:55:00,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
103,1521226508000,St James Hospital (Luas),40,17,23,OPEN,2018-03-16 18:55:08,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
